"word","borrowing","age_oldest","age_youngest","age_oldest_num","age_youngest_num","word.1","phonology","phonlength","AoA","subtlexzipf","conc","cat","AoA_obj","source.language","source.word","source.language.mean.word.length","source.language.word.freq","source.word.length"
"stocking",5,"1583","1583","417","417","stocking","stQkIN",6,"6.68","3.37","4.86","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,6
"hiccough",5,"1580","1580","420","420","hiccough","hIkQf",5,"10.20","3.28","4.31","Noun",12,"English",NA,3.45098039215686,0.0953247551173794,5
"stutter",5,"1570","1570","430","430","stutter","stVt@R",6,"8.78","2.78","3.97","Verb",4,"English",NA,3.45098039215686,0.00953247551173794,6
"shark",5,"1569","1569","431","431","shark","S#k",3,"5.47","4.17","4.93","Noun",4,"English",NA,3.45098039215686,0.390831495981255,3
"hug",5,"1567","1567","433","433","hug","hVg",3,"2.58","4.13","4.14","Noun",2,"English",NA,3.45098039215686,0.390831495981255,3
"splash",5,"1565","1565","435","435","splash","spl{S",5,"3.67","4.13","4.19","Noun",2,"English",NA,3.45098039215686,0.0953247551173794,5
"workshop",5,"1562","1562","438","438","workshop","w3kSQp",6,"7.78","4.01","4.54","Noun",4,"English",NA,3.45098039215686,0.00953247551173794,6
"collarbone",5,"1550","1550","450","450","collarbone","kQl@b5n",7,"8.89","2.80","4.85","Noun",4,"English",NA,3.45098039215686,0.00953247551173794,7
"dandruff",5,"1545","1545","455","455","dandruff","d{ndrVf",7,"10.74","2.75","4.79","Noun",4,"English",NA,3.45098039215686,0.00953247551173794,7
"fog",5,"1544","1544","456","456","fog","fQg",3,"6.21","4.08","4.66","Noun",4,"English",NA,3.45098039215686,0.390831495981255,3
"stamp",5,"1542","1542","458","458","stamp","st{mp",5,"6.33","4.20","4.70","Noun",2,"English",NA,3.45098039215686,0.0953247551173794,5
"jug",5,"1538","1538","462","462","jug","_Vg",3,"5.83","4.06","4.96","Noun",2,"English",NA,3.45098039215686,0.390831495981255,3
"doorpost",5,"1535","1535","465","465","doorpost","d$Rp5st",7,"7.56","1.30","4.70","Noun",8,"French","poste",3.5,0.134541280442127,5
"jump",5,"1530","1530","470","470","jump","_Vmp",4,"2.84","4.84","4.52","Verb",2,"English",NA,3.45098039215686,0.32410416739909,4
"sometimes",5,"1526","1526","474","474","sometimes","sVmt2mz",7,"6.37","5.25","1.77","Adverb",4,"English",NA,3.45098039215686,0.00953247551173794,7
"grasshopper",5,"1526","1526","474","474","grasshopper","gr#shQp@R",9,"5.78","2.91","4.91","Noun",2,"English",NA,3.45098039215686,1.50635287271151e-07,9
"fisherman",5,"1526","1526","474","474","fisherman","fIS@m@n",7,"5.16","3.75","4.73","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,7
"nipple",5,"1510","1510","490","490","nipple","nIpP",4,"9.05","3.07","4.83","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"inside",5,"1504","1504","496","496","inside","Ins2d",5,"4.77","5.36","3.67","Adverb",2,"English",NA,3.45098039215686,0.0953247551173794,5
"firewood",5,"1496","1496","504","504","firewood","f2@wUd",6,"6.61","3.02","4.93","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,6
"shed",5,"1481","1481","519","519","shed","SEd",3,"7.33","4.38","4.55","Verb",6,"English",NA,3.45098039215686,0.390831495981255,3
"breakfast",5,"1463","1463","537","537","breakfast","brEkf@st",8,"3.47","4.64","4.43","Noun",2,"English",NA,3.45098039215686,1.79731245171322e-05,8
"outside",5,"1457","1457","543","543","outside","6ts2d",5,"3.58","5.32","4.25","Adverb",2,"English",NA,3.45098039215686,0.0953247551173794,5
"salty",5,"1440","1440","560","560","salty","s$ltI",5,"5.33","3.87","3.93","Adjective",2,"English",NA,3.45098039215686,0.0953247551173794,5
"padlock",5,"1438","1438","562","562","padlock","p{dlQk",6,"8.84","2.91","4.92","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,6
"loom",5,"1404","1404","596","596","loom","lum",3,"8.78","3.27","4.50","Noun",6,"English",NA,3.45098039215686,0.390831495981255,3
"shallow",5,"1400","1400","600","600","shallow","S{l5",4,"7.00","3.87","3.45","Adjective",4,"English",NA,3.45098039215686,0.32410416739909,4
"prawn",5,"1400","1400","600","600","prawn","pr$n",4,"13.06","3.66","4.62","Noun",13,"English",NA,3.45098039215686,0.32410416739909,4
"threshing-floor",5,"1398","1398","602","602","threshingfloor","TrESINfl$R",10,"#N/A","#N/A","#N/A","Noun",NA,"English",NA,3.45098039215686,4.96467117486558e-10,10
"earwax",5,"1398","1398","602","602","earwax","7w{ks",5,"6.39","2.54","4.87","Noun",NA,"English",NA,3.45098039215686,0.0953247551173794,5
"forge",5,"1390","1390","610","610","forge","f$_",3,"9.80","3.57","4.04","Verb",6,"French","forge",3.5,0.134541280442127,5
"fishhook",5,"1387","1387","613","613","fishhook","fIShUk",6,"6.84","1.30","4.87","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,6
"kick",5,"1386","1386","614","614","kick","kIk",3,"4.06","4.91","4.33","Verb",2,"English",NA,3.45098039215686,0.390831495981255,3
"father-in-law",5,"1385","1385","615","615","fatherinlaw","f#D@rInl$",9,"#N/A","3.33","#N/A","Noun",4,"English",NA,3.45098039215686,1.50635287271151e-07,9
"mother-in-law",5,"1382","1382","618","618","motherinlaw","mVD@rInl$",9,"#N/A","3.66","#N/A","Noun",4,"English",NA,3.45098039215686,1.50635287271151e-07,9
"daughter-in-law",5,"1382","1382","618","618","daughterinlaw","d$t@rInl$",9,"#N/A","2.99","#N/A","Noun",4,"English",NA,3.45098039215686,1.50635287271151e-07,9
"shoemaker",5,"1381","1381","619","619","shoemaker","Sum1k@R",7,"7.58","2.63","4.54","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,7
"chop",5,"1362","1362","638","638","chop","JQp",3,"6.74","4.30","4.48","Noun",2,"English",NA,3.45098039215686,0.390831495981255,3
"widower",5,"1362","1362","638","638","widower","wId5@R",6,"9.42","2.73","3.96","Noun",6,"English",NA,3.45098039215686,0.00953247551173794,6
"son-in-law",5,"1350","1350","650","650","soninlaw","sVnInl$",7,"#N/A","3.20","#N/A","Noun",4,"English",NA,3.45098039215686,0.00953247551173794,7
"shout",5,"1350","1350","650","650","shout","S6t",3,"4.72","4.43","4.17","Verb",4,"English",NA,3.45098039215686,0.390831495981255,3
"spider",5,"1340","1340","660","660","spider","sp2d@R",6,"3.43","4.24","4.97","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,6
"saucer",5,"1340","1340","660","660","saucer","s$s@R",5,"8.44","3.37","4.79","Noun",2,"Old French","saussier",4.11764705882353,0.000899274671836846,8
"charcoal",5,"1340","1340","660","660","charcoal","J#k5l",5,"8.00","3.38","4.85","Noun",4,"English",NA,3.45098039215686,0.0953247551173794,5
"kill",5,"1330","1330","670","670","kill","kIl",3,"6.35","4.91","3.90","Verb",2,"English",NA,3.45098039215686,0.390831495981255,3
"mould",5,"1327","1327","673","673","mould","m5ld",4,"11.33","4.04","#N/A","Noun",8,"French (Anglo-Norman)","modle",3.5,0.134541280840892,5
"nape",5,"1325","1325","675","675","nape","n1p",3,"10.53","2.09","4.44","Noun",12,"English",NA,3.45098039215686,0.390831495981255,3
"cough",5,"1325","1325","675","675","cough","kQf",3,"4.32","3.68","4.36","Noun",4,"English",NA,3.45098039215686,0.390831495981255,3
"bunch",5,"1325","1325","675","675","bunch","bVnJ",4,"4.89","4.43","3.50","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"kidney",5,"1325","1325","675","675","kidney","kIdnI",5,"9.33","3.94","4.96","Noun",4,"English",NA,3.45098039215686,0.0953247551173794,5
"wrap",5,"1320","1320","680","680","wrap","r{p",3,"7.00","4.10","4.11","Verb",2,"English",NA,3.45098039215686,0.390831495981255,3
"bald",5,"1300","1300","700","700","bald","b$ld",4,"7.26","3.72","4.69","Adjective",4,"English",NA,3.45098039215686,0.32410416739909,4
"drunk",5,"1300","1300","700","700","drunk","drVNk",5,"9.26","4.46","3.48","Adjective",2,"English",NA,3.45098039215686,0.0953247551173794,5
"afternoon",5,"1300","1300","700","700","afternoon","#ft@nun",7,"4.65","5.06","3.70","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,7
"cloud",5,"1300","1300","700","700","cloud","kl6d",4,"3.63","4.77","4.54","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"basket",5,"1300","1300","700","700","basket","b#skIt",6,"5.67","4.16","5.00","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,6
"earthquake",5,"1300","1300","700","700","earthquake","3Tkw1k",6,"7.53","4.11","3.97","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,6
"shoulderblade",5,"1300","1300","700","700","shoulderblade","S5ld@bl1d",9,"#N/A","#N/A","#N/A","Noun",NA,"English",NA,3.45098039215686,1.50635287271151e-07,9
"pour",5,"1300","1300","700","700","pour","p$R",3,"5.00","4.25","4.14","Verb",2,"English",NA,3.45098039215686,0.390831495981255,3
"bad",5,"1297","1297","703","703","bad","b{d",3,"2.79","5.56","1.68","Adjective",2,"English",NA,3.45098039215686,0.390831495981255,3
"boast",5,"1297","1297","703","703","boast","b5st",4,"8.22","3.47","2.32","Verb",6,"English",NA,3.45098039215686,0.32410416739909,4
"girl",5,"1290","1290","710","710","girl","g3l",3,"4.00","5.29","4.85","Noun",2,"English",NA,3.45098039215686,0.390831495981255,3
"teacher",5,"1290","1290","710","710","teacher","tiJ@R",5,"4.55","4.68","4.52","Noun",2,"English",NA,3.45098039215686,0.0953247551173794,5
"tomorrow",5,"1275","1275","725","725","tomorrow","t@mQr5",6,"5.19","5.26","2.04","Adverb",2,"English",NA,3.45098039215686,0.00953247551173794,6
"shiver",5,"1250","1250","750","750","shiver","SIv@R",5,"7.50","3.27","3.88","Verb",4,"English",NA,3.45098039215686,0.0953247551173794,5
"always",5,"1230","1230","770","770","always","$lw1z",5,"6.26","5.76","1.71","Adverb",2,"English",NA,3.45098039215686,0.0953247551173794,5
"early",5,"1225","1225","775","775","early","3lI",3,"5.31","5.32","2.25","Adverb",2,"English",NA,3.45098039215686,0.390831495981255,3
"rule",5,"1225","1225","775","775","rule","rul",3,"4.72","4.67","2.57","Noun",4,"French (Anglo-Norman)","riule",3.5,0.134541280840892,5
"pig",5,"1225","1225","775","775","pig","pIg",3,"3.84","4.51","5.00","Noun",2,"English",NA,3.45098039215686,0.390831495981255,3
"clever",5,"1220","1220","780","780","clever","klEv@R",6,"7.50","4.71","1.79","Adjective",4,"English",NA,3.45098039215686,0.00953247551173794,6
"eyelid",5,"1220","1220","780","780","eyelid","2lId",4,"6.33","3.00","5.00","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"beside",5,"1205","1205","795","795","beside","bIs2d",5,"7.22","4.13","2.59","Preposition",2,"English",NA,3.45098039215686,0.0953247551173794,5
"blunt",5,"1200","1200","800","800","blunt","blVnt",5,"11.05","3.68","3.07","Adjective",6,"English",NA,3.45098039215686,0.0953247551173794,5
"or",5,"1200","1200","800","800","or","$R",2,"4.14","6.29","1.72","Conjunction",4,"English",NA,3.45098039215686,0.142987132676069,2
"smell",5,"1175","1175","825","825","smell","smEl",4,"4.22","4.84","3.70","Verb",2,"English",NA,3.45098039215686,0.32410416739909,4
"without",5,"1123","1123","877","877","without","wID6t",5,"6.53","5.46","2.15","Preposition",2,"English",NA,3.45098039215686,0.0953247551173794,5
"twice",5,"1122","1122","878","878","twice","tw2s",4,"5.89","4.77","2.93","Adverb",4,"English",NA,3.45098039215686,0.32410416739909,4
"smooth",5,"1050","1050","950","950","smooth","smuD",4,"5.61","4.36","3.81","Adjective",4,"English",NA,3.45098039215686,0.32410416739909,4
"dog",5,"1050","1050","950","950","dog","dQg",3,"2.80","5.17","4.85","Noun",2,"English",NA,3.45098039215686,0.390831495981255,3
"put",5,"1050","1050","950","950","put","pUt",3,"3.72","5.99","2.50","Verb",2,"English",NA,3.45098039215686,0.390831495981255,3
"guilty",5,"1000","1000","1000","1000","guilty","gIltI",5,"8.05","4.57","2.36","Adjective",4,"English",NA,3.45098039215686,0.0953247551173794,5
"never",5,"1000","1000","1000","1000","never","nEv@R",5,"5.07","5.89","1.59","Adverb",2,"English",NA,3.45098039215686,0.0953247551173794,5
"yes",5,"1000","1000","1000","1000","yes","jEs",3,"2.31","6.23","2.14","Interjection",2,"English",NA,3.45098039215686,0.390831495981255,3
"evening",5,"1000","1000","1000","1000","evening","ivHIN",5,"5.84","5.12","3.26","Noun",2,"English",NA,3.45098039215686,0.0953247551173794,5
"whistle",5,"1000","1000","1000","1000","whistle","wIsP",4,"5.42","4.25","4.42","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"forehead",5,"1000","1000","1000","1000","forehead","fQrId",5,"5.58","3.56","4.90","Noun",4,"English",NA,3.45098039215686,0.0953247551173794,5
"earring",5,"1000","1000","1000","1000","earring","7rIN",4,"7.17","3.07","4.96","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"colt",5,"1000","1000","1000","1000","colt","k5lt",4,"8.98","3.12","4.96","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"sibling",5,"1000","1000","1000","1000","sibling","sIblIN",6,"7.58","3.19","4.37","Noun",12,"English",NA,3.45098039215686,0.00953247551173794,6
"curse",5,"1000","1000","1000","1000","curse","k3s",3,"7.47","3.80","2.39","Noun",4,"English",NA,3.45098039215686,0.390831495981255,3
"butterfly",5,"1000","1000","1000","1000","butterfly","bVt@fl2",7,"3.67","4.03","4.93","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,7
"film",5,"1000","1000","1000","1000","film","fIlm",4,"6.95","5.26","4.71","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"untie",5,"1000","1000","1000","1000","untie","Vnt2",4,"4.84","3.04","3.89","Verb",2,"English",NA,3.45098039215686,0.32410416739909,4
"bless",5,"1000","1000","1000","1000","bless","blEs",4,"5.33","4.26","2.68","Verb",2,"English",NA,3.45098039215686,0.32410416739909,4
"keep",5,"1000","1000","1000","1000","keep","kip",3,"4.42","5.72","2.37","Verb",2,"English",NA,3.45098039215686,0.390831495981255,3
"pull",5,"1000","1000","1000","1000","pull","pUl",3,"4.79","4.94","3.97","Verb",2,"English",NA,3.45098039215686,0.390831495981255,3
"waterfall",5,"992","992","1008","1008","waterfall","w$t@f$l",7,"5.47","3.56","4.90","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,7
"yesterday",5,"950","950","1050","1050","yesterday","jEst@dI",7,"4.58","5.03","3.00","Adverb",2,"English",NA,3.45098039215686,0.00953247551173794,7
"today",5,"897","897","1103","1103","today","t@d1",4,"4.77","5.96","2.57","Adverb",2,"English",NA,3.45098039215686,0.32410416739909,4
"woman",5,"893","893","1107","1107","woman","wUm@n",5,"4.95","5.22","4.46","Noun",2,"English",NA,3.45098039215686,0.0953247551173794,5
"bruise",5,"890","890","1110","1110","bruise","bruz",4,"5.45","3.30","4.73","Noun",4,"English",NA,3.45098039215686,0.32410416739909,4
"understand",5,"888","888","1112","1112","understand","Vnd@st{nd",9,"6.17","5.32","2.28","Verb",2,"English",NA,3.45098039215686,1.50635287271151e-07,9
"adze",5,"880","880","1120","1120","adze","{dz",3,"#N/A","2.40","#N/A","Noun",14,"English",NA,3.45098039215686,0.390831495981255,3
"part",5,"Late Old English","Late Old English","850","850","part","p#t",3,"5.11","5.67","3.29","Noun",2,"Latin","par-s, -tem",4.83333333333333,5.97588542720223e-05,11
"worship",5,"Late Old English","Late Old English","850","850","worship","w3SIp",5,"7.00","3.89","2.62","Verb",4,"English",NA,3.45098039215686,0.0953247551173794,5
"bird",5,"800","800","1200","1200","bird","b3d",3,"3.52","4.85","5.00","Noun",2,"English",NA,3.45098039215686,0.390831495981255,3
"answer",5,"800","800","1200","1200","answer","#ns@R",5,"5.43","5.56","2.89","Verb",2,"English",NA,3.45098039215686,0.0953247551173794,5
"tired",5,"725","725","1275","1275","tired","t2@d",4,"4.62","4.64","3.00","Adjective",2,"English",NA,3.45098039215686,0.32410416739909,4
"empty",5,"Early Old English","Early Old English","1100","1100","empty","EmptI",5,"4.79","4.68","3.43","Adjective",2,"English",NA,3.45098039215686,0.0953247551173794,5
"ripe",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","ripe","r2p",3,"7.11","3.70","3.30","Adjective",2,"English",NA,3.45098039215686,0.390831495981255,3
"wrinkled",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","wrinkled","rINkPd",6,"7.26","2.61","4.29","Adjective",NA,"English",NA,3.45098039215686,0.00953247551173794,6
"unripe",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","unripe","Vnr2p",5,"7.50","2.17","3.31","Adjective",2,"English",NA,3.45098039215686,0.0953247551173794,5
"alone",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","alone","@l5n",4,"4.94","5.03","2.86","Adjective",2,"English",NA,3.45098039215686,0.32410416739909,4
"smart",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","smart","sm#t",4,"5.50","4.49","1.75","Adjective",2,"English",NA,3.45098039215686,0.32410416739909,4
"stinking",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","stinking","stINkIN",7,"#N/A","3.46","3.20","Adjective",NA,"English",NA,3.45098039215686,0.00953247551173794,7
"dull",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","dull","dVl",3,"8.05","4.04","2.37","Adjective",2,"English",NA,3.45098039215686,0.390831495981255,3
"narrow",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","narrow","n{r5",4,"7.57","4.25","3.04","Adjective",2,"English",NA,3.45098039215686,0.32410416739909,4
"soft",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","soft","sQft",4,"3.95","4.68","3.88","Adjective",2,"English",NA,3.45098039215686,0.32410416739909,4
"soon",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","soon","sun",3,"4.83","5.30","1.79","Adverb",2,"English",NA,3.45098039215686,0.390831495981255,3
"straight",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","straight","str1t",5,"6.80","5.26","2.76","Adverb",2,"English",NA,3.45098039215686,0.0953247551173794,5
"loud",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","loud","l6d",3,"4.54","4.48","3.73","Adverb",2,"English",NA,3.45098039215686,0.390831495981255,3
"before",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","before","bIf$R",5,"5.45","5.88","1.96","Conjunction",2,"English",NA,3.45098039215686,0.0953247551173794,5
"itch",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","itch","IJ",2,"5.05","3.32","3.15","Noun",2,"English",NA,3.45098039215686,0.142987132676069,2
"darkness",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","darkness","d#knIs",6,"4.83","4.14","3.85","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,6
"bowl",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","bowl","b5l",3,"4.26","4.69","4.87","Noun",2,"English",NA,3.45098039215686,0.390831495981255,3
"beginning",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","beginning","bIgInIN",7,"5.40","4.99","2.50","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,7
"pound",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","pound","p6nd",4,"6.79","4.51","4.61","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"gnat",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","gnat","n{t",3,"10.10","2.48","4.83","Noun",6,"English",NA,3.45098039215686,0.390831495981255,3
"lip",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","lip","lIp",3,"3.79","3.91","4.96","Noun",2,"English",NA,3.45098039215686,0.390831495981255,3
"witch",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","witch","wIJ",3,"4.78","4.06","4.17","Noun",2,"English",NA,3.45098039215686,0.390831495981255,3
"anvil",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","anvil","{nvIl",5,"10.79","2.97","4.96","Noun",8,"English",NA,3.45098039215686,0.0953247551173794,5
"broom",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","broom","brum",4,"5.50","3.56","4.89","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"hoe",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","hoe","h5",2,"8.72","2.95","4.74","Noun",2,"English",NA,3.45098039215686,0.142987132676069,2
"bolt",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","bolt","b5lt",4,"7.28","4.00","4.67","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"body",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","body","bQdI",4,"4.28","5.18","4.79","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"speech",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","speech","spiJ",4,"6.22","4.72","3.37","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"linen",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","linen","lInIn",5,"7.68","3.48","4.80","Noun",2,"English",NA,3.45098039215686,0.0953247551173794,5
"hole",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","hole","h5l",3,"5.05","4.76","4.81","Noun",2,"English",NA,3.45098039215686,0.390831495981255,3
"sheep",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","sheep","Sip",3,"4.25","4.67","4.90","Noun",2,"English",NA,3.45098039215686,0.390831495981255,3
"cheek",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","cheek","Jik",3,"5.06","3.93","4.83","Noun",2,"English",NA,3.45098039215686,0.390831495981255,3
"rest",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","rest","rEst",4,"4.22","5.28","3.03","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"rooster",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","rooster","rust@R",6,"6.41","3.13","4.75","Noun",2,"English",NA,3.45098039215686,0.00953247551173794,6
"leather",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","leather","lED@R",5,"7.25","4.16","4.82","Noun",4,"English",NA,3.45098039215686,0.0953247551173794,5
"kid",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","kid","kId",3,"4.28","4.78","4.56","Noun",2,"English",NA,3.45098039215686,0.390831495981255,3
"boar",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","boar","b$R",3,"9.83","3.57","4.80","Noun",6,"English",NA,3.45098039215686,0.390831495981255,3
"stove",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","stove","st5v",4,"4.32","3.67","4.96","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"brain",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","brain","br1n",4,"5.76","4.84","4.69","Noun",2,"English",NA,3.45098039215686,0.32410416739909,4
"snot",5,"Proto-West Germanic","Proto-West Germanic","2000","2000","snot","snQt",4,"5.47","3.41","4.48","Noun",4,"English",NA,3.45098039215686,0.32410416739909,4
